City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
446,le morne-rouge,14.7667,-61.1333,24.76,79,100,5.87,MQ,1689467150
447,ust'-kalmanka,52.1207,83.305,19.95,36,71,3.97,RU,1689467150
448,sanford,28.8006,-81.2731,31.74,83,75,3.09,US,1689466864
449,san juan,-31.5375,-68.5364,9.54,46,0,3.15,AR,1689466937
450,ponta delgada,37.7333,-25.6667,20.4,77,75,2.57,PT,1689467151
451,touros,-5.1989,-35.4608,25.62,83,4,5.17,BR,1689467152
452,burang,30.25,81.1667,11.04,85,99,1.04,CN,1689467152
453,fort stockton,30.894,-102.8793,38.03,21,20,8.23,US,1689467152
454,marianna,30.7744,-85.2269,24.16,94,40,2.41,US,1689467153
455,magadan,59.5667,150.8,19.74,76,81,3.09,RU,1689467153
456,christchurch,-43.5333,172.6333,16.11,63,75,3.09,NZ,1689466604
457,bargaal,11.2864,51.0773,29.47,53,7,12.2,SO,1689467153
458,smidovich,48.6,133.8167,15.9,85,100,4.51,RU,1689467154
459,vila velha,-20.3297,-40.2925,18.97,87,75,1.54,BR,1689467154
460,leh,34.1667,77.5833,16.87,40,45,2.44,IN,1689467154
461,calama,-22.4667,-68.9333,12.27,10,0,5.14,CL,1689467155
462,baiti,13.745,-14.7482,25.58,82,66,3.3,SN,1689467155
463,edgewater,28.9889,-80.9023,29.13,69,100,2.06,US,1689467160
464,sultanah,24.4926,39.5857,37.25,9,20,1.54,SA,1689467161
465,arkhangel'sk,64.5401,40.5433,15.87,74,91,1.5,RU,1689467161
466,mahdishahr,35.7108,53.3556,24.53,22,6,1.83,IR,1689467162
467,vernon,50.2581,-119.2691,36.27,21,57,0.51,CA,1689467162
468,byron bay,-28.65,153.6167,18.73,56,0,1.98,AU,1689467078
469,chemax,20.65,-87.9333,31.7,50,17,3.74,MX,1689467163
470,axim,4.8699,-2.2405,25.04,89,72,3.64,GH,1689467164
471,aljezur,37.3191,-8.8033,17.37,75,0,5.85,PT,1689466934
